VC:904M BD:May 23 2013 SN:LGR-13-0147
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  08/06/2019 14:52:19.817,    1.45900e+00,    1.05767e-03,    1.94741e+04,    3.24132e+01,    4.20878e+02,    1.67655e+00,    1.48798e+00,    1.02949e-03,    4.29237e+02,    1.72403e+00,    1.40345e+02,    8.70817e-04,    4.04907e+01,    4.77252e-04,    4.11636e+01,    1.98933e-03,    5.32101e+00,    6.83714e-03,    4.87255e+00,    6.33261e-04,              3,       Disabled
  08/06/2019 14:52:22.755,    1.45678e+00,    6.01539e-03,    1.91810e+04,    2.44144e+01,    4.20971e+02,    3.02959e+00,    1.48527e+00,    6.17000e-03,    4.29204e+02,    3.09953e+00,    1.40274e+02,    2.42646e-02,    4.04933e+01,    1.71292e-03,    4.11582e+01,    5.31668e-03,    5.31496e+00,    6.21007e-03,    4.87988e+00,    1.00702e-03,              3,       Disabled
  08/06/2019 14:52:24.554,    1.44998e+00,    3.07767e-03,    1.92868e+04,    2.76354e+02,    4.21330e+02,    1.49434e+00,    1.47849e+00,    3.55482e-03,    4.29616e+02,    1.64479e+00,    1.40328e+02,    6.57841e-02,    4.04948e+01,    4.63246e-04,    4.11476e+01,    8.73564e-04,    5.31955e+00,    8.74474e-03,    4.88133e+00,    4.25914e-03,              3,       Disabled
  08/06/2019 14:52:26.363,    1.44442e+00,    1.85405e-03,    1.91411e+04,    1.01291e+02,    4.21411e+02,    1.71907e+00,    1.47261e+00,    2.04230e-03,    4.29635e+02,    1.79699e+00,    1.40357e+02,    3.17079e-02,    4.04961e+01,    2.96111e-04,    4.11456e+01,    2.85840e-03,    5.30834e+00,    6.23029e-03,    4.87951e+00,    6.34032e-03,              3,       Disabled
  08/06/2019 14:52:28.154,    1.44318e+00,    4.65024e-05,    1.88805e+04,    5.78424e+00,    4.20137e+02,    2.05352e+00,    1.47096e+00,    5.60694e-05,    4.28222e+02,    2.09556e+00,    1.40307e+02,    3.90714e-02,    4.04973e+01,    3.61818e-04,    4.11417e+01,    1.14274e-03,    5.31750e+00,    2.79861e-03,    4.88129e+00,    5.51935e-03,              3,       Disabled
  08/06/2019 14:52:30.005,    1.43790e+00,    1.21600e-04,    1.89111e+04,    3.97692e+01,    4.20971e+02,    2.05383e+00,    1.46562e+00,    6.45343e-05,    4.29085e+02,    2.07603e+00,    1.40305e+02,    6.66343e-02,    4.04986e+01,    5.92285e-04,    4.11396e+01,    4.93961e-04,    5.32053e+00,    5.88137e-04,    4.87991e+00,    6.28908e-03,              3,       Disabled
  08/06/2019 14:52:32.069,    1.43712e+00,    3.81815e-03,    1.86909e+04,    1.43865e+01,    4.19471e+02,    6.03820e-01,    1.46450e+00,    3.91234e-03,    4.27461e+02,    6.09054e-01,    1.40350e+02,    3.33700e-02,    4.04992e+01,    2.56863e-04,    4.11327e+01,    1.89015e-03,    5.32035e+00,    5.69982e-03,    4.87770e+00,    4.26691e-03,              3,       Disabled
  08/06/2019 14:52:34.127,    1.43332e+00,    3.07862e-03,    1.87857e+04,    5.14510e+01,    4.21832e+02,    8.99465e-01,    1.46076e+00,    3.06097e-03,    4.29908e+02,    9.39229e-01,    1.40323e+02,    6.66262e-02,    4.05001e+01,    6.21999e-05,    4.11290e+01,    3.13235e-03,    5.32500e+00,    1.08176e-02,    4.88515e+00,    5.87621e-03,              3,       Disabled
  08/06/2019 14:52:36.173,    1.43771e+00,    2.63755e-04,    1.87443e+04,    4.46143e+01,    4.27506e+02,    3.03704e+00,    1.46517e+00,    3.35410e-04,    4.35672e+02,    3.11486e+00,    1.40297e+02,    4.53239e-03,    4.05006e+01,    3.32237e-04,    4.11248e+01,    2.34898e-04,    5.32570e+00,    4.45166e-03,    4.88150e+00,    6.99428e-03,              3,       Disabled
  08/06/2019 14:52:38.960,    1.43526e+00,    2.66368e-03,    1.89475e+04,    8.36360e+01,    4.36190e+02,    2.01709e+00,    1.46298e+00,    2.83985e-03,    4.44615e+02,    2.09395e+00,    1.40335e+02,    4.23010e-02,    4.05017e+01,    1.92026e-04,    4.11214e+01,    4.87330e-03,    5.33532e+00,    3.68791e-03,    4.88008e+00,    4.08976e-03,              3,       Disabled
  08/06/2019 14:52:40.790,    1.43306e+00,    3.10030e-03,    1.89798e+04,    5.37012e+01,    4.42575e+02,    1.43145e+00,    1.46079e+00,    3.24025e-03,    4.51138e+02,    1.43445e+00,    1.40309e+02,    4.56778e-02,    4.05018e+01,    8.23636e-05,    4.11163e+01,    2.32061e-03,    5.33932e+00,    4.96289e-03,    4.88395e+00,    9.19885e-03,              3,       Disabled
  08/06/2019 14:52:42.554,    1.43607e+00,    3.98846e-03,    1.89828e+04,    4.56760e+01,    4.46128e+02,    2.17174e+00,    1.46386e+00,    4.13379e-03,    4.54761e+02,    2.23493e+00,    1.40301e+02,    5.57066e-02,    4.05023e+01,    3.53775e-04,    4.11141e+01,    3.01181e-03,    5.33228e+00,    8.92308e-04,    4.87688e+00,    1.95426e-03,              3,       Disabled
  08/06/2019 14:52:44.360,    1.43462e+00,    3.45429e-03,    1.90471e+04,    9.68837e+01,    4.49938e+02,    1.18359e-01,    1.46248e+00,    3.37692e-03,    4.58675e+02,    7.53561e-02,    1.40344e+02,    4.48934e-02,    4.05024e+01,    2.02485e-04,    4.11141e+01,    1.18686e-03,    5.33346e+00,    4.32803e-03,    4.88129e+00,    2.57051e-04,              3,       Disabled
  08/06/2019 14:52:46.354,    1.43875e+00,    6.16624e-03,    1.89904e+04,    1.33288e+02,    4.49698e+02,    1.52317e+00,    1.46660e+00,    6.08634e-03,    4.58403e+02,    1.49037e+00,    1.40328e+02,    7.04186e-02,    4.05024e+01,    2.59184e-04,    4.11120e+01,    3.32033e-03,    5.33122e+00,    1.24329e-02,    4.88173e+00,    6.69082e-04,              3,       Disabled
  08/06/2019 14:52:48.406,    1.43461e+00,    9.80324e-04,    1.89831e+04,    9.10417e+01,    4.44608e+02,    1.67350e+00,    1.46237e+00,    1.13501e-03,    4.53211e+02,    1.74794e+00,    1.40302e+02,    1.43425e-02,    4.05025e+01,    1.13213e-04,    4.11084e+01,    5.71511e-04,    5.34278e+00,    2.72857e-03,    4.88011e+00,    3.25919e-03,              3,       Disabled
  08/06/2019 14:52:50.458,    1.42923e+00,    3.56516e-03,    1.89308e+04,    1.30909e+01,    4.40951e+02,    2.81631e+00,    1.45681e+00,    3.61451e-03,    4.49460e+02,    2.86466e+00,    1.40311e+02,    7.26869e-02,    4.05022e+01,    8.64716e-05,    4.11070e+01,    1.15763e-03,    5.34376e+00,    3.75254e-03,    4.89247e+00,    4.57138e-03,              3,       Disabled
  08/06/2019 14:52:53.354,    1.43071e+00,    2.20635e-03,    1.90319e+04,    4.78264e+01,    4.36331e+02,    2.01360e+00,    1.45846e+00,    2.32026e-03,    4.44796e+02,    2.07436e+00,    1.40367e+02,    1.19215e-02,    4.05022e+01,    1.45924e-04,    4.11068e+01,    3.27060e-04,    5.33888e+00,    1.03545e-02,    4.88797e+00,    7.57652e-03,              3,       Disabled
  08/06/2019 14:52:55.154,    1.42591e+00,    7.26731e-03,    1.88383e+04,    8.87229e+01,    4.32624e+02,    4.64546e-02,    1.45328e+00,    7.53826e-03,    4.40931e+02,    7.47477e-03,    1.40297e+02,    1.71909e-02,    4.05020e+01,    1.17410e-04,    4.11028e+01,    3.74545e-04,    5.34835e+00,    1.26520e-02,    4.88956e+00,    2.87241e-04,              3,       Disabled
  08/06/2019 14:52:56.954,    1.42706e+00,    1.36265e-03,    1.89616e+04,    4.69157e+01,    4.30270e+02,    9.02892e-01,    1.45465e+00,    1.31942e-03,    4.38586e+02,    9.41318e-01,    1.40321e+02,    6.97798e-02,    4.05017e+01,    6.56572e-05,    4.10963e+01,    1.09188e-03,    5.33912e+00,    2.58722e-03,    4.88139e+00,    9.42300e-04,              3,       Disabled
  08/06/2019 14:52:58.756,    1.42741e+00,    3.51924e-03,    1.87773e+04,    1.84434e+02,    4.27088e+02,    4.11041e-01,    1.45472e+00,    3.31315e-03,    4.35261e+02,    3.37094e-01,    1.40342e+02,    1.77714e-02,    4.05013e+01,    2.67898e-04,    4.10941e+01,    2.62013e-03,    5.33885e+00,    3.19634e-03,    4.89092e+00,    4.98309e-03,              3,       Disabled
  08/06/2019 14:53:00.608,    1.42344e+00,    5.32095e-03,    1.89559e+04,    6.78661e+01,    4.25166e+02,    1.56289e+00,    1.45095e+00,    5.52413e-03,    4.33381e+02,    1.62306e+00,    1.40311e+02,    5.98051e-02,    4.05013e+01,    2.47179e-04,    4.10936e+01,    2.28661e-03,    5.34206e+00,    9.40887e-03,    4.89163e+00,    4.76273e-04,              3,       Disabled
  08/06/2019 14:53:02.660,    1.42335e+00,    1.65822e-03,    1.89847e+04,    9.05084e+01,    4.23809e+02,    2.23100e+00,    1.45089e+00,    1.82417e-03,    4.32010e+02,    2.31403e+00,    1.40300e+02,    4.90196e-02,    4.05006e+01,    1.59073e-04,    4.10906e+01,    9.69378e-04,    5.34949e+00,    4.41654e-04,    4.89029e+00,    5.26889e-03,              3,       Disabled
