VC:904M BD:May 23 2013 SN:LGR-13-0147
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  08/02/2019 17:00:53.981,    1.57553e+00,    0.00000e+00,    2.60143e+04,    0.00000e+00,    4.88835e+02,    0.00000e+00,    1.61761e+00,    0.00000e+00,    5.01891e+02,    0.00000e+00,    1.40397e+02,    0.00000e+00,    3.03027e+01,    0.00000e+00,    3.07606e+01,    0.00000e+00,    5.45836e+00,    0.00000e+00,    5.09599e+00,    0.00000e+00,              3,       Disabled
  08/02/2019 17:00:56.041,    1.55827e+00,    9.49929e-03,    2.70300e+04,    3.31279e+02,    4.86785e+02,    1.19023e+00,    1.60155e+00,    9.21789e-03,    5.00308e+02,    1.05295e+00,    1.40385e+02,    3.07148e-02,    3.03046e+01,    1.04573e-03,    3.07698e+01,    4.61705e-03,    5.47227e+00,    1.24944e-02,    5.11117e+00,    5.05342e-03,              3,       Disabled
  08/02/2019 17:00:58.975,    1.53582e+00,    8.26637e-03,    2.73981e+04,    1.50595e+02,    4.80137e+02,    5.80774e+00,    1.57908e+00,    8.25473e-03,    4.93662e+02,    5.89491e+00,    1.40323e+02,    6.81458e-03,    3.03092e+01,    3.23106e-03,    3.07948e+01,    1.72678e-02,    5.48725e+00,    1.55742e-06,    5.12323e+00,    2.31663e-03,              3,       Disabled
  08/02/2019 17:01:00.776,    1.51884e+00,    2.58937e-03,    2.78141e+04,    1.39010e+02,    4.74084e+02,    2.60056e+00,    1.56230e+00,    2.88684e-03,    4.87648e+02,    2.74469e+00,    1.40393e+02,    2.86110e-02,    3.03128e+01,    9.00826e-04,    3.08138e+01,    5.39761e-03,    5.49043e+00,    1.86297e-03,    5.11683e+00,    1.73672e-03,              3,       Disabled
  08/02/2019 17:01:02.577,    1.49905e+00,    7.25913e-03,    2.81837e+04,    1.70719e+02,    4.65453e+02,    1.69930e+00,    1.54253e+00,    7.19868e-03,    4.78952e+02,    1.66444e+00,    1.40382e+02,    6.24118e-02,    3.03153e+01,    7.74078e-04,    3.08309e+01,    2.98287e-03,    5.50260e+00,    1.17920e-02,    5.12600e+00,    7.38356e-03,              3,       Disabled
  08/02/2019 17:01:04.375,    1.48909e+00,    8.74292e-03,    2.86461e+04,    6.68777e+01,    4.58685e+02,    2.77667e+00,    1.53301e+00,    9.10630e-03,    4.72212e+02,    2.89107e+00,    1.40339e+02,    7.57171e-02,    3.03174e+01,    8.34016e-04,    3.08443e+01,    6.14810e-03,    5.50009e+00,    7.03252e-03,    5.11773e+00,    3.25686e-03,              3,       Disabled
  08/02/2019 17:01:06.227,    1.48053e+00,    1.84587e-04,    2.90455e+04,    9.74743e+01,    4.52844e+02,    1.06349e+00,    1.52482e+00,    3.43185e-04,    4.66391e+02,    1.04848e+00,    1.40411e+02,    1.02229e-02,    3.03198e+01,    1.06340e-03,    3.08583e+01,    3.69712e-03,    5.50437e+00,    7.83831e-03,    5.12029e+00,    2.45895e-03,              3,       Disabled
  08/02/2019 17:01:08.278,    1.46906e+00,    8.26959e-03,    2.91346e+04,    2.33352e+01,    4.50326e+02,    8.59721e-01,    1.51314e+00,    8.48138e-03,    4.63840e+02,    8.74372e-01,    1.40350e+02,    1.37276e-02,    3.03216e+01,    8.85178e-04,    3.08720e+01,    6.16075e-03,    5.49708e+00,    6.80938e-03,    5.11149e+00,    1.36327e-02,              3,       Disabled
  08/02/2019 17:01:10.330,    1.46207e+00,    2.02772e-03,    2.93495e+04,    3.15382e+02,    4.47103e+02,    7.67803e-01,    1.50627e+00,    1.59962e-03,    4.60622e+02,    9.40683e-01,    1.40410e+02,    3.52205e-02,    3.03234e+01,    8.14130e-04,    3.08854e+01,    5.63222e-03,    5.48494e+00,    3.63563e-03,    5.10608e+00,    9.12362e-03,              3,       Disabled
  08/02/2019 17:01:12.379,    1.46194e+00,    4.68901e-03,    2.93920e+04,    3.40864e+01,    4.45341e+02,    1.54312e+00,    1.50621e+00,    4.77811e-03,    4.58827e+02,    1.57373e+00,    1.40367e+02,    4.30902e-02,    3.03253e+01,    3.36560e-04,    3.09028e+01,    5.51955e-03,    5.47220e+00,    9.21891e-03,    5.09331e+00,    7.69107e-03,              3,       Disabled
  08/02/2019 17:01:15.174,    1.45618e+00,    3.65995e-03,    2.95267e+04,    1.61195e+02,    4.42763e+02,    1.13074e+00,    1.50049e+00,    3.52208e-03,    4.56234e+02,    1.24092e+00,    1.40396e+02,    4.59040e-03,    3.03281e+01,    2.09473e-04,    3.09339e+01,    3.30403e-03,    5.48150e+00,    2.05964e-03,    5.09778e+00,    9.84402e-03,              3,       Disabled
  08/02/2019 17:01:16.974,    1.45089e+00,    9.43255e-04,    2.98023e+04,    1.32108e+02,    4.42822e+02,    1.31086e+00,    1.49546e+00,    7.68599e-04,    4.56425e+02,    1.28898e+00,    1.40348e+02,    4.69617e-02,    3.03293e+01,    5.41696e-04,    3.09485e+01,    5.44003e-03,    5.47990e+00,    1.26848e-02,    5.09579e+00,    1.66202e-03,              3,       Disabled
  08/02/2019 17:01:18.774,    1.44744e+00,    1.10762e-03,    3.01214e+04,    5.09098e+01,    4.40351e+02,    1.04757e+00,    1.49240e+00,    1.22035e-03,    4.54027e+02,    1.05628e+00,    1.40350e+02,    3.54426e-02,    3.03298e+01,    4.30940e-04,    3.09632e+01,    6.34479e-03,    5.47975e+00,    5.17905e-04,    5.09754e+00,    1.91016e-03,              3,       Disabled
  08/02/2019 17:01:20.579,    1.44949e+00,    1.01407e-02,    3.03681e+04,    2.67833e+01,    4.38093e+02,    2.99704e+00,    1.49488e+00,    1.04170e-02,    4.51813e+02,    3.07843e+00,    1.40389e+02,    1.97968e-02,    3.03312e+01,    6.57017e-04,    3.09790e+01,    6.80559e-03,    5.47726e+00,    8.07352e-03,    5.10014e+00,    9.12830e-04,              3,       Disabled
  08/02/2019 17:01:22.570,    1.44663e+00,    4.74900e-03,    3.03517e+04,    7.07924e+01,    4.39627e+02,    1.40377e+00,    1.49191e+00,    4.78873e-03,    4.53388e+02,    1.41461e+00,    1.40372e+02,    6.44036e-02,    3.03319e+01,    1.94158e-04,    3.09951e+01,    5.09471e-03,    5.47966e+00,    2.88167e-04,    5.10358e+00,    9.17742e-04,              3,       Disabled
  08/02/2019 17:01:24.617,    1.44799e+00,    4.19977e-04,    3.04988e+04,    6.90532e+01,    4.39811e+02,    8.59056e-01,    1.49354e+00,    3.26810e-04,    4.53646e+02,    9.18392e-01,    1.40362e+02,    5.42529e-02,    3.03326e+01,    4.58907e-04,    3.10094e+01,    5.58867e-03,    5.46897e+00,    5.39550e-04,    5.09360e+00,    2.22730e-03,              3,       Disabled
  08/02/2019 17:01:26.661,    1.45355e+00,    2.47185e-03,    3.08168e+04,    3.26312e+02,    4.38609e+02,    3.82346e-01,    1.49977e+00,    2.04549e-03,    4.52555e+02,    2.42134e-01,    1.40382e+02,    3.04574e-02,    3.03339e+01,    3.82714e-04,    3.10236e+01,    3.97445e-03,    5.46503e+00,    5.69710e-03,    5.09103e+00,    4.70023e-03,              3,       Disabled
  08/02/2019 17:01:29.576,    1.45222e+00,    5.30576e-03,    3.04356e+04,    2.06278e+02,    4.39535e+02,    1.48285e-01,    1.49781e+00,    5.79098e-03,    4.53333e+02,    5.64914e-02,    1.40352e+02,    9.69854e-04,    3.03351e+01,    1.24185e-03,    3.10451e+01,    1.62544e-02,    5.48615e+00,    9.72618e-03,    5.08780e+00,    4.65177e-03,              3,       Disabled
  08/02/2019 17:01:31.376,    1.45597e+00,    1.93368e-03,    3.06351e+04,    3.55278e+02,    4.40746e+02,    9.25718e-02,    1.50198e+00,    1.44431e-03,    4.54675e+02,    2.62138e-01,    1.40379e+02,    7.03089e-02,    3.03363e+01,    1.16410e-04,    3.10651e+01,    3.07784e-03,    5.47104e+00,    9.58605e-03,    5.09500e+00,    6.47217e-03,              3,       Disabled
  08/02/2019 17:01:33.174,    1.45691e+00,    5.08038e-03,    3.06799e+04,    4.83297e+01,    4.38357e+02,    5.57715e-01,    1.50302e+00,    5.31612e-03,    4.52231e+02,    5.97915e-01,    1.40372e+02,    4.26032e-02,    3.03370e+01,    2.35016e-04,    3.10783e+01,    5.27313e-03,    5.46635e+00,    1.07759e-02,    5.09583e+00,    7.71660e-03,              3,       Disabled
  08/02/2019 17:01:34.974,    1.45525e+00,    1.46643e-03,    3.08679e+04,    1.73941e+02,    4.37868e+02,    2.67209e-01,    1.50160e+00,    1.78265e-03,    4.51814e+02,    1.94628e-01,    1.40380e+02,    1.55928e-02,    3.03378e+01,    1.33631e-04,    3.10931e+01,    4.10876e-03,    5.47252e+00,    4.34021e-03,    5.09404e+00,    2.62489e-03,              3,       Disabled
  08/02/2019 17:01:36.836,    1.45310e+00,    6.12354e-04,    3.08423e+04,    1.66110e+01,    4.38218e+02,    1.74632e+00,    1.49935e+00,    6.06144e-04,    4.52164e+02,    1.79415e+00,    1.40348e+02,    1.87642e-02,    3.03382e+01,    1.34953e-05,    3.11120e+01,    5.03964e-03,    5.46827e+00,    3.94485e-03,    5.09606e+00,    3.88006e-03,              3,       Disabled
  08/02/2019 17:01:38.882,    1.45223e+00,    2.05706e-03,    3.11349e+04,    1.77223e+01,    4.38503e+02,    5.98880e-01,    1.49890e+00,    2.15058e-03,    4.52594e+02,    6.09847e-01,    1.40332e+02,    5.54724e-02,    3.03386e+01,    3.23023e-04,    3.11267e+01,    6.11157e-03,    5.46571e+00,    2.80904e-03,    5.08330e+00,    2.50761e-03,              3,       Disabled
  08/02/2019 17:01:40.934,    1.44706e+00,    1.80741e-04,    3.08118e+04,    4.23561e+01,    4.36148e+02,    9.51909e-02,    1.49307e+00,    2.51738e-04,    4.50013e+02,    1.17884e-01,    1.40392e+02,    4.16504e-02,    3.03392e+01,    2.18784e-04,    3.11391e+01,    5.07223e-03,    5.46922e+00,    1.10486e-03,    5.09145e+00,    2.92417e-03,              3,       Disabled
  08/02/2019 17:01:42.980,    1.45096e+00,    7.16654e-03,    3.07915e+04,    7.24979e+01,    4.33866e+02,    3.57698e-01,    1.49705e+00,    7.50620e-03,    4.47650e+02,    4.02547e-01,    1.40371e+02,    9.76828e-02,    3.03398e+01,    1.56317e-04,    3.11551e+01,    3.83649e-03,    5.47281e+00,    1.14529e-02,    5.08695e+00,    1.31967e-03,              3,       Disabled
  08/02/2019 17:01:45.780,    1.45161e+00,    5.73485e-04,    3.10180e+04,    1.31498e+02,    4.35481e+02,    4.02807e-01,    1.49808e+00,    3.88543e-04,    4.49421e+02,    3.54712e-01,    1.40374e+02,    3.42870e-02,    3.03411e+01,    9.11500e-05,    3.11858e+01,    1.76202e-03,    5.46283e+00,    8.88807e-03,    5.08660e+00,    1.01860e-02,              3,       Disabled
  08/02/2019 17:01:47.580,    1.44878e+00,    1.36554e-03,    3.08890e+04,    7.72615e+01,    4.35414e+02,    1.61327e+00,    1.49496e+00,    1.52825e-03,    4.49292e+02,    1.70051e+00,    1.40338e+02,    4.56643e-02,    3.03413e+01,    2.09686e-04,    3.11991e+01,    5.08347e-03,    5.45072e+00,    1.20279e-03,    5.07437e+00,    5.37153e-03,              3,       Disabled
  08/02/2019 17:01:49.374,    1.44581e+00,    3.80970e-03,    3.09230e+04,    4.19819e+01,    4.33356e+02,    9.89368e-01,    1.49194e+00,    3.86663e-03,    4.47184e+02,    1.04031e+00,    1.40370e+02,    5.37669e-02,    3.03416e+01,    3.34045e-04,    3.12114e+01,    4.77749e-03,    5.47534e+00,    1.34307e-03,    5.09113e+00,    3.27589e-03,              3,       Disabled
  08/02/2019 17:01:51.178,    1.45191e+00,    5.27672e-03,    3.05532e+04,    7.57122e+01,    4.34802e+02,    4.57931e-01,    1.49766e+00,    5.55999e-03,    4.48506e+02,    5.07391e-01,    1.40369e+02,    9.62023e-03,    3.03422e+01,    2.17313e-04,    3.12257e+01,    5.27426e-03,    5.47179e+00,    9.10397e-03,    5.08760e+00,    3.79954e-03,              3,       Disabled
  08/02/2019 17:01:53.181,    1.45252e+00,    2.15221e-03,    3.07963e+04,    8.36657e+01,    4.35559e+02,    2.72882e+00,    1.49868e+00,    2.34997e-03,    4.49399e+02,    2.85432e+00,    1.40348e+02,    8.20824e-02,    3.03423e+01,    2.28263e-05,    3.12381e+01,    2.69375e-03,    5.47280e+00,    4.26933e-03,    5.08738e+00,    6.86334e-03,              3,       Disabled
  08/02/2019 17:01:55.231,    1.45435e+00,    1.30368e-03,    3.06187e+04,    1.56507e+02,    4.35627e+02,    1.07298e+00,    1.50029e+00,    1.10264e-03,    4.49387e+02,    1.03431e+00,    1.40348e+02,    1.70130e-02,    3.03426e+01,    1.98990e-04,    3.12515e+01,    6.13518e-03,    5.45943e+00,    7.49346e-04,    5.08273e+00,    6.66709e-03,              3,       Disabled
  08/02/2019 17:01:57.285,    1.45409e+00,    7.87540e-04,    3.04526e+04,    1.08467e+01,    4.32878e+02,    2.91369e-01,    1.49976e+00,    7.95498e-04,    4.46474e+02,    3.05516e-01,    1.40382e+02,    3.11459e-02,    3.03429e+01,    1.94883e-04,    3.12630e+01,    4.60440e-03,    5.47497e+00,    7.88705e-03,    5.09012e+00,    5.91754e-03,              3,       Disabled
