VC:904M BD:May 23 2013 SN:LGR-13-0147
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  08/07/2019 22:07:59.775,    1.55220e+00,    9.91735e-04,    2.31759e+04,    1.95803e+02,    4.62830e+02,    7.04315e-01,    1.58903e+00,    1.33378e-03,    4.73811e+02,    6.26051e-01,    1.40367e+02,    9.04988e-02,    3.04074e+01,    9.96598e-04,    3.19587e+01,    2.14808e-03,    5.39100e+00,    3.05937e-03,    5.01140e+00,    3.06976e-03,              3,       Disabled
  08/07/2019 22:08:02.660,    1.54405e+00,    4.17233e-03,    2.33080e+04,    1.42511e+02,    4.63557e+02,    1.12678e+00,    1.58089e+00,    4.50257e-03,    4.74619e+02,    1.22292e+00,    1.40397e+02,    1.58550e-03,    3.04077e+01,    1.77178e-03,    3.19578e+01,    1.37005e-03,    5.39777e+00,    1.10987e-02,    5.00619e+00,    1.12963e-02,              3,       Disabled
  08/07/2019 22:08:04.459,    1.54509e+00,    4.58161e-03,    2.34102e+04,    2.08326e+01,    4.62465e+02,    9.50005e-01,    1.58212e+00,    4.72519e-03,    4.73551e+02,    9.62676e-01,    1.40366e+02,    7.56974e-02,    3.04085e+01,    1.43139e-04,    3.19569e+01,    1.34954e-03,    5.39612e+00,    7.00464e-03,    5.01010e+00,    2.04458e-03,              3,       Disabled
  08/07/2019 22:08:06.261,    1.54761e+00,    4.98251e-03,    2.32894e+04,    4.12033e+02,    4.61434e+02,    1.95683e-01,    1.58451e+00,    5.76975e-03,    4.72437e+02,    1.04764e-03,    1.40341e+02,    5.60080e-02,    3.04091e+01,    5.47120e-04,    3.19547e+01,    7.39818e-04,    5.39554e+00,    1.37943e-02,    5.00596e+00,    3.86806e-03,              3,       Disabled
  08/07/2019 22:08:08.067,    1.54690e+00,    2.87697e-03,    2.31339e+04,    5.26361e+01,    4.58732e+02,    1.16047e+00,    1.58354e+00,    2.85978e-03,    4.69596e+02,    1.21325e+00,    1.40385e+02,    3.96816e-02,    3.04098e+01,    4.26914e-05,    3.19542e+01,    7.81122e-05,    5.39996e+00,    8.02915e-03,    5.00426e+00,    1.50818e-03,              3,       Disabled
  08/07/2019 22:08:09.956,    1.55026e+00,    2.41966e-03,    2.33252e+04,    2.81877e+01,    4.58400e+02,    6.94293e-01,    1.58728e+00,    2.52326e-03,    4.69348e+02,    6.97328e-01,    1.40369e+02,    5.94615e-02,    3.04103e+01,    1.49197e-04,    3.19546e+01,    3.85110e-03,    5.39781e+00,    2.33371e-03,    5.00139e+00,    3.22035e-03,              3,       Disabled
  08/07/2019 22:08:12.014,    1.54773e+00,    6.13841e-03,    2.33622e+04,    1.90527e+02,    4.56599e+02,    3.66314e-02,    1.58476e+00,    6.59441e-03,    4.67522e+02,    1.28714e-01,    1.40343e+02,    4.96187e-02,    3.04107e+01,    5.82210e-04,    3.19503e+01,    5.07448e-04,    5.40176e+00,    4.00033e-03,    5.00757e+00,    3.63783e-04,              3,       Disabled
  08/07/2019 22:08:14.073,    1.56506e+00,    2.35717e-03,    2.35105e+04,    3.62508e+02,    4.59195e+02,    1.95658e+00,    1.60274e+00,    1.81892e-03,    4.70250e+02,    1.82912e+00,    1.40348e+02,    7.39157e-02,    3.04119e+01,    4.20094e-04,    3.19494e+01,    2.03738e-03,    5.40161e+00,    1.19273e-02,    5.00363e+00,    2.72146e-03,              3,       Disabled
  08/07/2019 22:08:16.125,    1.57756e+00,    8.70172e-03,    2.36217e+04,    5.43754e+01,    4.60266e+02,    1.44232e+00,    1.61573e+00,    9.00223e-03,    4.71401e+02,    1.50347e+00,    1.40409e+02,    5.76717e-03,    3.04125e+01,    3.15244e-04,    3.19514e+01,    3.63587e-04,    5.39352e+00,    5.87925e-03,    5.00436e+00,    3.61111e-03,              3,       Disabled
  08/07/2019 22:08:18.859,    1.58912e+00,    8.21558e-03,    2.32920e+04,    6.49515e+01,    4.62322e+02,    1.81979e+00,    1.62702e+00,    8.51970e-03,    4.73347e+02,    1.89467e+00,    1.40343e+02,    6.94194e-02,    3.04138e+01,    2.48972e-04,    3.19556e+01,    4.28212e-04,    5.39963e+00,    1.90080e-02,    5.00558e+00,    1.21673e-04,              3,       Disabled
  08/07/2019 22:08:20.658,    1.60135e+00,    4.58480e-03,    2.32940e+04,    1.27282e+01,    4.65635e+02,    1.77507e+00,    1.63954e+00,    4.67278e-03,    4.76741e+02,    1.81120e+00,    1.40384e+02,    3.79579e-02,    3.04144e+01,    2.36100e-04,    3.19526e+01,    5.33017e-04,    5.39924e+00,    5.27754e-03,    5.00175e+00,    5.91075e-03,              3,       Disabled
  08/07/2019 22:08:22.460,    1.60036e+00,    4.00279e-03,    2.33057e+04,    4.37025e+01,    4.67257e+02,    1.05714e+00,    1.63855e+00,    4.17162e-03,    4.78407e+02,    1.10377e+00,    1.40379e+02,    7.60921e-02,    3.04151e+01,    3.94815e-05,    3.19527e+01,    6.12815e-04,    5.40618e+00,    4.36656e-03,    5.00292e+00,    7.55975e-03,              3,       Disabled
  08/07/2019 22:08:24.263,    1.60644e+00,    1.88072e-03,    2.36144e+04,    1.76892e+02,    4.70376e+02,    5.23724e-01,    1.64529e+00,    1.62813e-03,    4.81753e+02,    4.49111e-01,    1.40344e+02,    8.88199e-03,    3.04155e+01,    3.57537e-04,    3.19549e+01,    1.95196e-03,    5.38474e+00,    9.83408e-03,    4.99860e+00,    2.45239e-03,              3,       Disabled
  08/07/2019 22:08:26.305,    1.59563e+00,    1.49799e-03,    2.34688e+04,    3.35791e+01,    4.71018e+02,    1.03873e+00,    1.63398e+00,    1.59018e-03,    4.82338e+02,    1.04711e+00,    1.40362e+02,    6.17822e-02,    3.04159e+01,    3.21401e-04,    3.19530e+01,    1.60832e-03,    5.39370e+00,    3.89562e-04,    5.00421e+00,    1.93387e-03,              3,       Disabled
  08/07/2019 22:08:28.370,    1.58735e+00,    7.86880e-03,    2.36289e+04,    3.53614e+02,    4.73017e+02,    4.45287e-01,    1.62577e+00,    8.64803e-03,    4.84464e+02,    6.31523e-01,    1.40384e+02,    7.40293e-04,    3.04167e+01,    2.15478e-05,    3.19537e+01,    1.17056e-03,    5.39758e+00,    6.35162e-04,    5.00430e+00,    2.88182e-04,              3,       Disabled
