VC:904M BD:May 23 2013 SN:LGR-13-0147
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  08/02/2019 19:22:08.207,    1.65196e+00,    0.00000e+00,    2.32759e+04,    0.00000e+00,    1.19799e+03,    0.00000e+00,    1.69132e+00,    0.00000e+00,    1.22654e+03,    0.00000e+00,    1.40319e+02,    0.00000e+00,    2.83166e+01,    0.00000e+00,    2.81845e+01,    0.00000e+00,    5.45708e+00,    0.00000e+00,    5.08790e+00,    0.00000e+00,              3,       Disabled
  08/02/2019 19:22:10.259,    1.67665e+00,    1.60411e-02,    2.39076e+04,    6.52063e+02,    1.26323e+03,    3.30255e+01,    1.71772e+00,    1.75815e-02,    1.29418e+03,    3.46990e+01,    1.40410e+02,    4.85650e-02,    2.83189e+01,    1.15601e-03,    2.81983e+01,    6.22368e-03,    5.45683e+00,    1.41118e-02,    5.09465e+00,    4.33582e-03,              3,       Disabled
  08/02/2019 19:22:13.187,    1.67531e+00,    1.25281e-02,    2.44988e+04,    1.57358e+02,    1.22484e+03,    4.23498e+01,    1.71739e+00,    1.25657e-02,    1.25559e+03,    4.32109e+01,    1.40349e+02,    1.44965e-02,    2.83239e+01,    3.55772e-03,    2.82273e+01,    2.26284e-02,    5.45206e+00,    1.56370e-02,    5.08280e+00,    5.74528e-04,              3,       Disabled
  08/02/2019 19:22:14.986,    1.65554e+00,    1.29079e-02,    2.49545e+04,    2.02492e+02,    1.09893e+03,    4.50285e+01,    1.69791e+00,    1.28856e-02,    1.12705e+03,    4.59468e+01,    1.40391e+02,    6.16561e-02,    2.83286e+01,    1.04969e-03,    2.82551e+01,    5.27735e-03,    5.45253e+00,    6.14505e-03,    5.09890e+00,    5.68944e-03,              3,       Disabled
  08/02/2019 19:22:16.791,    1.62454e+00,    8.11332e-03,    2.52370e+04,    5.25735e+01,    9.77017e+02,    4.00018e+01,    1.66660e+00,    8.41327e-03,    1.00231e+03,    4.10915e+01,    1.40354e+02,    3.80252e-02,    2.83316e+01,    1.16761e-03,    2.82740e+01,    8.45494e-03,    5.42692e+00,    4.76962e-02,    5.06632e+00,    3.71401e-02,              3,       Disabled
  08/02/2019 19:22:18.605,    1.59773e+00,    8.58917e-03,    2.52167e+04,    2.13796e+02,    8.68427e+02,    3.55143e+01,    1.63906e+00,    8.45187e-03,    8.90888e+02,    3.62377e+01,    1.40417e+02,    1.80490e-02,    2.83344e+01,    9.31462e-04,    2.82931e+01,    6.88708e-03,    5.47264e+00,    4.16548e-02,    5.10352e+00,    2.12603e-02,              3,       Disabled
  08/02/2019 19:22:20.477,    1.58036e+00,    1.29101e-02,    2.52581e+04,    1.73446e+02,    7.79115e+02,    2.93978e+01,    1.62131e+00,    1.35331e-02,    7.99307e+02,    3.03018e+01,    1.40356e+02,    8.37758e-02,    2.83372e+01,    8.01628e-04,    2.83140e+01,    2.58922e-03,    5.48109e+00,    2.15895e-02,    5.11408e+00,    6.07224e-03,              3,       Disabled
  08/02/2019 19:22:22.541,    1.56706e+00,    3.07599e-03,    2.56561e+04,    2.92222e+02,    7.04288e+02,    2.18959e+01,    1.60833e+00,    2.67462e-03,    7.22830e+02,    2.22556e+01,    1.40357e+02,    4.58970e-02,    2.83396e+01,    9.69821e-04,    2.83313e+01,    8.05230e-03,    5.48943e+00,    8.51962e-03,    5.12509e+00,    6.10427e-03,              3,       Disabled
  08/02/2019 19:22:24.594,    1.55137e+00,    5.95894e-03,    2.56236e+04,    9.38915e+01,    6.45026e+02,    1.69377e+01,    1.59217e+00,    6.26907e-03,    6.61989e+02,    1.74469e+01,    1.40410e+02,    2.33077e-02,    2.83420e+01,    9.37459e-04,    2.83485e+01,    5.33804e-03,    5.49666e+00,    4.84887e-03,    5.12288e+00,    3.67348e-03,              3,       Disabled
  08/02/2019 19:22:26.670,    1.54076e+00,    1.83962e-03,    2.56940e+04,    9.62213e+01,    6.00341e+02,    1.43876e+01,    1.58140e+00,    2.04431e-03,    6.16173e+02,    1.48278e+01,    1.40364e+02,    2.97654e-02,    2.83446e+01,    8.20134e-04,    2.83674e+01,    7.32372e-03,    5.49003e+00,    5.23139e-03,    5.12446e+00,    7.06677e-03,              3,       Disabled
  08/02/2019 19:22:29.387,    1.53195e+00,    4.92292e-03,    2.58124e+04,    1.35292e+02,    5.64650e+02,    1.13192e+01,    1.57254e+00,    4.83497e-03,    5.79610e+02,    1.15386e+01,    1.40406e+02,    7.01666e-03,    2.83489e+01,    4.81451e-04,    2.84059e+01,    3.28043e-03,    5.47776e+00,    1.28550e-02,    5.12441e+00,    1.21752e-03,              3,       Disabled
  08/02/2019 19:22:31.187,    1.52194e+00,    2.97873e-03,    2.55561e+04,    2.36320e+02,    5.36573e+02,    8.86679e+00,    1.56186e+00,    3.43563e-03,    5.50646e+02,    9.23288e+00,    1.40370e+02,    6.61332e-02,    2.83507e+01,    8.79860e-04,    2.84229e+01,    7.68281e-03,    5.49076e+00,    4.18187e-03,    5.12436e+00,    5.79015e-03,              3,       Disabled
  08/02/2019 19:22:32.988,    1.51721e+00,    4.51200e-03,    2.58176e+04,    3.32415e+02,    5.16839e+02,    6.36953e+00,    1.55742e+00,    4.10015e-03,    5.30535e+02,    6.35730e+00,    1.40389e+02,    4.23085e-02,    2.83525e+01,    6.73130e-04,    2.84412e+01,    6.76597e-03,    5.47385e+00,    5.06358e-03,    5.12061e+00,    1.73219e-03,              3,       Disabled
