VC:904M BD:May 23 2013 SN:LGR-13-0147
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  08/06/2019 11:50:23.243,    1.42533e+00,    0.00000e+00,    2.33336e+04,    0.00000e+00,    4.15879e+02,    0.00000e+00,    1.45938e+00,    0.00000e+00,    4.25815e+02,    0.00000e+00,    1.40338e+02,    0.00000e+00,    3.70887e+01,    0.00000e+00,    3.96053e+01,    0.00000e+00,    5.32760e+00,    0.00000e+00,    4.89098e+00,    0.00000e+00,              3,       Disabled
  08/06/2019 11:50:25.314,    1.42344e+00,    3.65343e-03,    2.37075e+04,    8.55933e+01,    4.14921e+02,    6.92151e-01,    1.45800e+00,    3.86997e-03,    4.24997e+02,    6.71698e-01,    1.40298e+02,    3.53004e-03,    3.70911e+01,    1.26477e-03,    3.96073e+01,    2.98737e-03,    5.31447e+00,    1.81425e-03,    4.87258e+00,    6.41079e-03,              3,       Disabled
  08/06/2019 11:50:28.209,    1.41939e+00,    3.26022e-03,    2.35308e+04,    1.12766e+02,    4.16803e+02,    8.14755e-01,    1.45360e+00,    3.50665e-03,    4.26847e+02,    8.83682e-01,    1.40376e+02,    5.72509e-03,    3.70963e+01,    3.90723e-03,    3.96127e+01,    4.90730e-03,    5.32208e+00,    5.04508e-03,    4.87653e+00,    1.72531e-04,              3,       Disabled
  08/06/2019 11:50:30.006,    1.42185e+00,    2.62073e-04,    2.35335e+04,    2.59141e+00,    4.16519e+02,    1.60576e+00,    1.45611e+00,    2.72253e-04,    4.26557e+02,    1.64559e+00,    1.40314e+02,    4.83950e-02,    3.71013e+01,    1.26278e-03,    3.96156e+01,    1.35938e-03,    5.31245e+00,    2.55900e-03,    4.87671e+00,    6.99037e-03,              3,       Disabled
  08/06/2019 11:50:31.806,    1.42030e+00,    2.90077e-03,    2.35269e+04,    1.24683e+01,    4.16036e+02,    4.90299e-01,    1.45452e+00,    2.95208e-03,    4.26060e+02,    4.96672e-01,    1.40355e+02,    1.27671e-02,    3.71046e+01,    1.11168e-03,    3.96173e+01,    3.88313e-04,    5.31579e+00,    3.22605e-03,    4.87488e+00,    9.97527e-03,              3,       Disabled
  08/06/2019 11:50:33.618,    1.41791e+00,    1.80227e-03,    2.34819e+04,    8.46911e+00,    4.19590e+02,    1.12053e+00,    1.45200e+00,    1.85820e-03,    4.29680e+02,    1.15121e+00,    1.40299e+02,    4.91873e-03,    3.71079e+01,    1.24631e-03,    3.96219e+01,    3.60215e-03,    5.32329e+00,    2.15590e-03,    4.87674e+00,    3.20137e-03,              3,       Disabled
  08/06/2019 11:50:35.505,    1.41872e+00,    7.98997e-03,    2.34093e+04,    2.35613e+00,    4.19120e+02,    1.72013e-01,    1.45273e+00,    8.17799e-03,    4.29166e+02,    1.77172e-01,    1.40372e+02,    3.03485e-02,    3.71111e+01,    8.63379e-04,    3.96270e+01,    1.75612e-04,    5.33356e+00,    1.21654e-02,    4.87354e+00,    3.40090e-04,              3,       Disabled
  08/06/2019 11:50:37.590,    1.41762e+00,    2.63353e-03,    2.33597e+04,    4.15212e+01,    4.19407e+02,    2.59496e-02,    1.45153e+00,    2.63481e-03,    4.29438e+02,    4.48276e-02,    1.40320e+02,    1.65220e-02,    3.71140e+01,    1.09057e-03,    3.96320e+01,    2.38664e-03,    5.33453e+00,    2.21219e-03,    4.86701e+00,    8.87569e-03,              3,       Disabled
  08/06/2019 11:50:39.655,    1.42113e+00,    5.56087e-04,    2.34120e+04,    3.30027e+01,    4.20480e+02,    9.56593e-01,    1.45520e+00,    6.18595e-04,    4.30560e+02,    9.94076e-01,    1.40364e+02,    3.47794e-02,    3.71167e+01,    1.04742e-03,    3.96344e+01,    2.08402e-03,    5.33504e+00,    2.18330e-03,    4.86377e+00,    6.59388e-03,              3,       Disabled
  08/06/2019 11:50:42.614,    1.42044e+00,    1.48117e-03,    2.32858e+04,    3.23744e+02,    4.18148e+02,    3.35904e-01,    1.45431e+00,    1.99853e-03,    4.28117e+02,    2.02008e-01,    1.40299e+02,    4.68032e-02,    3.71211e+01,    2.97581e-03,    3.96408e+01,    2.81485e-03,    5.32580e+00,    6.68346e-03,    4.87384e+00,    1.14692e-02,              3,       Disabled
  08/06/2019 11:50:44.406,    1.42101e+00,    3.56800e-03,    2.32493e+04,    1.69058e+02,    4.18492e+02,    1.06730e+00,    1.45483e+00,    3.90473e-03,    4.28453e+02,    1.01854e+00,    1.40324e+02,    6.20629e-02,    3.71249e+01,    8.28955e-04,    3.96439e+01,    1.32313e-03,    5.33019e+00,    1.84670e-03,    4.87437e+00,    6.39570e-03,              3,       Disabled
  08/06/2019 11:50:46.206,    1.41713e+00,    2.11914e-03,    2.32304e+04,    2.80892e+02,    4.17562e+02,    5.85919e-01,    1.45084e+00,    2.58676e-03,    4.27493e+02,    7.22789e-01,    1.40328e+02,    3.99210e-02,    3.71274e+01,    9.75391e-04,    3.96457e+01,    3.24531e-04,    5.35389e+00,    2.41071e-04,    4.87869e+00,    1.45757e-03,              3,       Disabled
  08/06/2019 11:50:48.011,    1.41963e+00,    1.86265e-03,    2.31156e+04,    3.00879e+02,    4.15573e+02,    1.78497e+00,    1.45322e+00,    2.35432e-03,    4.25406e+02,    1.69618e+00,    1.40339e+02,    5.67378e-02,    3.71299e+01,    8.41254e-04,    3.96483e+01,    6.10567e-04,    5.33126e+00,    6.96659e-04,    4.88152e+00,    9.97750e-06,              3,       Disabled
